[2025-11-07 19:50:13] LOGOUT - Usuario: jose, Duración sesión: 29375690 minutos, Nivel: 1
[2025-11-07 19:54:31] LOGOUT - Usuario: jose, Duración sesión: 0 minutos, Nivel: 1
[2025-11-07 19:54:52] LOGOUT - Usuario: jose, Duración sesión: 0 minutos, Nivel: 1
[2025-11-07 19:56:16] LOGOUT - Usuario: jri6907, Duración sesión: 1 minutos, Nivel: 1
[2025-11-11 17:55:17] TORNEO - Usuario: jri6907, Equipos: 4
[2025-11-11 17:55:29] TORNEO - Usuario: jri6907, Equipos: 16
[2025-11-11 17:57:49] RANKING - Usuario: jri6907, Streamers procesados: 1
[2025-11-11 17:58:59] RANKING - Usuario: jri6907, Streamers procesados: 1
[2025-11-11 17:59:38] RANKING - Usuario: jri6907, Streamers procesados: 1
[2025-11-11 17:59:48] LOGOUT - Usuario: jri6907, Duración sesión: 11 minutos, Nivel: 3
[2025-11-11 18:00:01] LOGOUT - Usuario: jri6907, Duración sesión: 0 minutos, Nivel: 1
[2025-11-11 18:00:04] LOGOUT - Usuario: jri6907, Duración sesión: 0 minutos, Nivel: 1
[2025-11-12 12:28:16] LOGOUT - Usuario: jri6907, Duración sesión: 5 minutos, Nivel: 1
[2025-11-12 12:36:19] TORNEO - Usuario: jri6907, Equipos: 8
[2025-11-12 12:44:03] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 216633 followers, Team Order: 5 streamers, 201753 followers
[2025-11-12 12:44:39] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 393859 followers, Team Order: 5 streamers, 322192 followers
[2025-11-12 12:44:49] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 302456 followers, Team Order: 5 streamers, 237698 followers
[2025-11-12 12:49:38] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:00] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:01] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:02] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:02] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:03] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:03] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:03] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:05] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 185617 followers, Team Order: 5 streamers, 219932 followers
[2025-11-12 12:51:08] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 172199 followers, Team Order: 5 streamers, 289392 followers
[2025-11-12 12:51:10] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 172199 followers, Team Order: 5 streamers, 289392 followers
[2025-11-12 12:51:13] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 280904 followers, Team Order: 5 streamers, 271156 followers
[2025-11-12 12:51:13] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 332844 followers, Team Order: 5 streamers, 247555 followers
[2025-11-12 12:51:14] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 332844 followers, Team Order: 5 streamers, 247555 followers
[2025-11-12 12:51:15] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 332844 followers, Team Order: 5 streamers, 247555 followers
[2025-11-12 12:51:15] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 332844 followers, Team Order: 5 streamers, 247555 followers
[2025-11-12 12:51:15] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 332844 followers, Team Order: 5 streamers, 247555 followers
[2025-11-12 12:52:21] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 215397 followers, Team Order: 5 streamers, 238656 followers
[2025-11-12 12:53:18] TORNEO - Usuario: jri6907, Team Chaos: 5 streamers, 227749 followers, Team Order: 5 streamers, 389983 followers
[2025-11-12 13:02:15] LOGOUT - Usuario: jri6907, Duración sesión: 30 minutos, Nivel: 5
