[2025-11-05 12:40:58] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-05 12:41:43] Sorteo - Viewers: 150, Ganadores: 9
[2025-11-05 12:41:43] Sorteo - Viewers: 150, Ganadores: 10
[2025-11-05 12:44:53] Sorteo - Viewers: 200, Ganadores: 6
[2025-11-05 12:47:01] Sorteo - Viewers: 58, Ganadores: 5
[2025-11-05 12:48:02] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-05 12:48:54] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-05 13:31:53] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-05 13:51:09] Sorteo - Viewers: 71, Ganadores: 6
[2025-11-05 13:53:12] Sorteo - Viewers: 71, Ganadores: 7
[2025-11-05 13:53:28] Sorteo - Viewers: 71, Ganadores: 7
[2025-11-05 13:53:40] Sorteo - Viewers: 71, Ganadores: 6
[2025-11-06 14:38:03] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-06 14:38:22] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-06 14:38:26] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-06 14:38:40] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-06 14:38:42] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-06 14:38:55] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-06 14:39:00] Sorteo - Viewers: 100, Ganadores: 7
[2025-11-06 14:40:58] Sorteo - Viewers: 100, Ganadores: 6
[2025-11-06 14:58:33] Sorteo - Viewers: 100, Ganadores: 5
[2025-11-06 14:58:37] Sorteo - Viewers: 100, Ganadores: 7
[2025-11-06 14:58:50] Sorteo - Viewers: 100, Ganadores: 5
[2025-11-06 14:59:33] Sorteo - Viewers: 100, Ganadores: 6
[2025-11-12 12:53:11] Sorteo - Viewers: 50, Ganadores: 5
[2025-11-12 13:20:51] Sorteo - Viewers: 100, Ganadores: 8
[2025-11-12 13:55:39] Sorteo - Viewers: 80, Ganadores: 6
[2025-11-12 13:55:39] Sorteo - Viewers: 80, Ganadores: 8
[2025-11-12 13:55:39] Sorteo - Viewers: 80, Ganadores: 6
[2025-11-12 13:55:39] Sorteo - Viewers: 80, Ganadores: 5
[2025-11-13 12:32:01] Sorteo - Viewers: 90, Ganadores: 8
[2025-11-13 12:32:02] Sorteo - Viewers: 90, Ganadores: 6
[2025-11-13 13:04:20] Sorteo - Viewers: 80, Ganadores: 7
[2025-11-13 13:04:20] Sorteo - Viewers: 80, Ganadores: 7
[2025-11-13 13:04:20] Sorteo - Viewers: 80, Ganadores: 7
[2025-11-13 13:04:20] Sorteo - Viewers: 80, Ganadores: 7
[2025-11-13 13:04:20] Sorteo - Viewers: 80, Ganadores: 7
[2025-11-13 13:04:20] Sorteo - Viewers: 80, Ganadores: 7
[2025-11-13 13:04:20] Sorteo - Viewers: 80, Ganadores: 7
[2025-11-13 13:04:20] Sorteo - Viewers: 80, Ganadores: 7
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:17:59] Sorteo - Viewers: 100, Ganadores: 9
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
[2025-11-13 13:21:11] Sorteo - Viewers: 180, Ganadores: 16
